Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AGRAMERI - NEZAVISNA LISTA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, HRVATSKA RADIÆEVSKA STRANKA - HRS, PROMIJENIMO HRVATSKU - PH, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";BLOK UMIROVLJENICI ZAJEDNO - BUZ;CENTAR;DOMOVINSKI POKRET - DP, ZELENA LISTA;FOKUS;GRAÐANSKO-LIBERALNI SAVEZ - GLAS, DEMOKRATI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, ZAGREB JE NAŠ!, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, ZA GRAD;NARODNA STRANKA - REFORMISTI - REFORMISTI;NEZAVISNA LISTA TOMISLAV STOJAK - NLTS;POKRET ZA MODERNU HRVATSKU;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO TOKIÆ;VESNA ŠKARE OŽBOLT - NEZAVISNA LISTA - VESNA ŠKARE OŽBOLT-NL;ZAGORSKA STRANKA ZA ZAGREB - ZSZ
21;GRAD ZAGREB;grad;GRAD ZAGREB;001;ANDRIJA MEDULIÆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIÆEVA ULICA 36;996;529;523;517;6;3;22;0;22;3;9;49;8;5;103;2;4;13;207;1;0;0;2;39;1;24;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;002;ANDRIJA MEDULIÆ;DRŽAVNA ŠKOLA ZA JAVNU UPRAVU;MEDULIÆEVA ULICA 36;984;517;517;514;3;3;2;0;22;2;5;47;13;3;32;2;1;24;291;0;1;2;0;43;0;21;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;003;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1106;579;579;568;11;2;1;0;18;5;8;46;13;3;68;4;4;25;283;0;0;0;3;50;2;32;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;004;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;ULICA PAVLA HATZA 8;1177;600;600;591;9;1;4;1;26;1;13;59;21;6;65;2;5;23;285;1;0;0;2;60;1;15;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;005;CVJETNI TRG;OŠ IVANA GUNDULIÆA;GUNDULIÆEVA ULICA 23A;1006;497;497;492;5;1;1;1;18;3;11;31;7;7;41;1;5;13;269;0;0;1;4;44;1;33;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;006;CVJETNI TRG;OŠ IVANA GUNDULIÆA;GUNDULIÆEVA ULICA 23A;995;546;546;537;9;2;0;0;38;1;8;45;7;4;40;2;7;26;267;1;0;2;3;53;0;29;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;007;HRVATSKI NARODNI VLADARI;PROSTORIJE MJESNOG ODBORA;ULICA KNEZA BORNE 9;1521;695;695;682;13;4;0;1;49;5;13;57;12;10;70;2;5;28;334;0;2;1;2;61;0;25;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;008;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4;1326;728;724;718;6;2;1;3;28;3;15;50;12;6;51;4;2;24;391;0;3;0;5;75;0;42;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;009;KNEZ MISLAV;VII GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4;1233;650;650;647;3;2;0;1;46;3;8;45;10;4;59;1;1;24;340;0;0;1;4;56;2;39;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;010;KRALJ PETAR SVAÈIÆ;PROSTORIJE MJESNOG ODBORA;PRERADOVIÆEVA ULICA 29;1184;618;618;613;5;2;0;5;28;1;7;54;6;6;42;3;3;15;341;5;0;0;0;49;2;43;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;011;KRALJ PETAR SVAÈIÆ;ELEKTRA;GUNDULIÆEVA ULICA 32;1264;687;685;673;12;1;0;1;35;4;7;47;6;10;59;2;1;31;357;1;2;0;7;57;2;42;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;012;KRALJ ZVONIMIR;OŠ S.S. KRANJÈEVIÆA;ULICA BALTAZARA BOGIŠIÆA 13;1228;635;635;629;6;5;5;0;24;3;10;47;21;8;54;3;4;31;299;1;3;2;7;63;3;35;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;013;KRALJ ZVONIMIR;OŠ S.S. KRANJÈEVIÆA;ULICA BALTAZARA BOGIŠIÆA 13;1219;640;640;638;2;1;3;1;33;5;10;54;13;10;47;2;4;31;343;0;2;0;4;46;0;28;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;014;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1152;574;574;569;5;5;2;0;13;2;3;35;22;5;67;0;3;30;288;0;0;1;7;67;2;17;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;015;KRALJ ZVONIMIR;POLIKLINIKA SUVAG;ULICA LJUDEVITA POSAVSKOG 10;1174;639;639;631;8;4;0;1;23;4;5;40;14;11;56;3;3;36;314;1;2;1;2;75;1;35;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;016;MATKO LAGINJA;PROSTORIJE MJESNOG ODBORA;ULICA MATKA LAGINJE 11;1272;671;671;655;16;0;2;0;19;2;6;39;10;17;66;1;1;16;338;0;3;1;5;94;2;33;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;017;MATKO LAGINJA;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1247;692;692;684;8;3;0;1;22;2;6;70;12;6;50;1;7;31;373;0;0;0;4;64;1;30;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;018;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;802;386;386;380;6;0;0;0;17;2;4;36;5;2;28;0;6;15;207;0;1;0;3;40;0;14;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;019;MIMARA;OŠ IZIDORA KRŠNJAVOGA;ULICA ISIDORA KRŠNJAVOGA 2;781;403;403;400;3;2;1;1;14;5;4;23;5;3;60;0;5;21;182;0;2;0;6;41;0;23;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;020;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;885;478;477;473;4;1;0;1;18;1;9;39;8;5;59;0;4;21;251;1;3;0;2;42;0;8;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;021;NADBISKUP ANTUN BAUER;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;997;571;571;568;3;2;0;2;21;4;6;44;0;6;63;0;8;28;307;1;0;1;6;45;3;21;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;022;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1110;606;606;595;11;3;2;0;21;3;10;29;9;10;47;0;2;16;347;1;0;2;2;62;0;29;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;023;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;ULICA MATKA LAGINJE 13;1121;551;551;547;4;0;0;1;31;3;8;33;7;8;68;2;2;17;280;0;2;2;3;59;4;17;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;024;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4A;828;460;460;452;8;1;1;1;10;2;6;39;5;7;48;3;5;15;235;0;0;2;2;49;0;21;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;025;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;ULICA JURJA KRIŽANIÆA 4A;794;451;450;449;1;1;1;1;22;4;5;36;12;5;32;1;14;19;225;1;1;1;1;48;1;18;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;026;PETAR ZRINSKI;PROSTORIJE MJESNOG ODBORA;PRIMORSKA ULICA 32;1295;687;686;679;7;0;0;1;36;1;3;37;5;4;59;2;4;10;389;1;1;1;2;83;2;37;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;027;PETAR ZRINSKI;I. TEHNIÈKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIÆA 7;1118;572;572;563;9;1;0;1;27;3;6;36;15;4;67;0;0;18;284;0;0;0;6;65;0;30;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;028;PETAR ZRINSKI;I. TEHNIÈKA ŠKOLA TESLA;ULICA VJEKOSLAVA KLAIÆA 7;1143;544;543;537;6;3;1;0;20;2;3;42;9;3;54;2;9;27;282;0;2;1;3;59;3;12;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;029;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA ULICA 30;887;446;446;440;6;0;3;2;25;1;9;26;7;4;47;2;3;16;223;0;0;0;7;48;4;12;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;030;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA ULICA 30;762;416;415;409;6;0;0;0;22;1;6;45;15;9;38;3;3;22;192;0;1;0;2;32;1;16;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;031;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA ULICA 33 DVORANA, PRIZEMLJE DESNO;1355;601;601;589;12;3;1;0;30;1;13;44;6;4;126;4;7;47;226;0;3;1;1;42;0;29;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;032;GORNJI GRAD;STARA GRADSKA VIJEÆNICA;ULICA SV. ÆIRILA I METODA 5;1234;685;685;677;8;3;1;1;36;5;4;55;13;8;78;6;7;22;331;0;5;0;1;75;0;25;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;033;GORNJI GRAD;STARA GRADSKA VIJEÆNICA;ULICA SV. ÆIRILA I METODA 5;1106;550;550;545;5;1;2;1;24;1;5;44;7;9;59;1;3;16;296;0;1;0;5;48;0;22;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;034;GUPÈEVA ZVIJEZDA;UPRAVA GRADSKIH GROBLJA;ALEJA HERMANNA BOLLEA 27;602;308;308;304;4;3;0;0;23;0;3;27;7;4;27;1;1;11;138;0;1;0;1;41;1;13;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;035;GUPÈEVA ZVIJEZDA;PROSTORIJE MJESNOG ODBORA, DVORANA LIJEVO;KSAVER 203;543;292;292;290;2;1;0;0;17;2;2;23;4;2;35;2;1;7;148;0;0;0;0;33;0;12;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;036;GUPÈEVA ZVIJEZDA;CENTAR ZA REHABILITACIJU 'ZAGREB';ORLOVAC 2;692;394;393;390;3;1;2;0;21;2;5;44;12;5;63;3;0;33;136;0;1;0;1;38;1;21;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;037;IVAN KUKULJEVIÆ SAKCINSKI;PROSTORIJE MJESNOG ODBORA;RADNIÈKI DOL 1;839;477;477;471;6;1;1;0;13;4;5;27;7;5;40;2;1;10;270;0;1;0;9;45;1;29;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;038;IVAN KUKULJEVIÆ SAKCINSKI;DOM ZDRAVLJA ZAGREB-ZAPAD;RADNIÈKI DOL 24;867;448;448;447;1;1;2;1;18;4;6;29;8;3;45;3;3;24;234;1;2;0;1;37;1;23;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;039;KRALJEVEC;PROSTORIJE MJESNOG ODBORA;KRALJEVEC 11;908;525;525;517;8;1;1;1;30;1;6;20;6;2;74;1;4;17;250;2;0;1;10;61;3;26;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;040;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MEDVEŠÈAK 2;1350;682;682;673;9;3;0;0;18;1;11;65;8;6;78;2;2;26;350;0;5;1;5;60;0;30;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;041;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;ULICA MILANA ŠUFFLAYA 2;783;422;422;418;4;2;1;0;21;0;3;35;12;4;45;1;5;24;197;4;0;1;1;45;1;16;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;042;NOVA VES;PROSTORIJE MJESNOG ODBORA;NOVA VES 36;1404;745;745;723;22;3;0;1;60;2;9;66;16;2;81;1;6;22;349;0;6;1;3;68;1;25;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;043;NOVA VES;ŠKOLA ZA MEDICINSKE SESTRE MLINARSKA;MLINARSKA CESTA 34;1104;539;539;530;9;0;0;0;31;6;2;50;2;1;50;2;2;20;273;0;1;1;4;67;0;17;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;044;PETROVA;PROSTORIJE MJESNOG ODBORA;ULICA JAKOVA GOTOVCA 7;878;413;413;405;8;4;1;0;21;2;5;27;6;6;39;1;2;9;189;0;3;1;3;62;2;21;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;045;PETROVA;DJEÈJI VRTIÆ MEDVEŠÈAK - PODRUÈNI OBJEKT;JURKOVIÆEVA ULICA 14;681;370;370;369;1;0;1;1;22;0;4;28;12;4;47;0;2;15;165;21;2;0;1;41;3;0;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;046;RIBNJAK;"CENTAR MLADIH ""RIBNJAK""";RIBNJAK 1;1144;612;612;606;6;1;1;0;26;1;9;45;13;4;54;0;4;20;316;1;0;1;4;61;2;43;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;047;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA ULICA 108;1252;681;681;674;7;2;2;2;34;4;5;72;16;2;74;3;2;34;300;0;2;0;2;88;0;30;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;048;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA ULICA 108;1359;773;773;764;9;1;0;0;50;5;10;57;19;5;108;9;6;41;329;0;4;0;0;83;3;34;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;049;STJEPAN RADIÆ;KAZALIŠTE HISTRION - PREDVORJE;ILICA 90;1254;585;585;574;11;3;1;0;21;5;7;46;9;8;57;1;6;27;290;2;2;1;8;54;2;24;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;050;ŠALATA;OŠ IVANA GORANA KOVAÈIÆA;ULICA MATIJE MESIÆA 35;1469;822;822;814;8;8;2;1;43;2;7;51;23;3;148;1;9;45;352;3;1;0;1;73;4;37;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;051;TUŠKANAC;DJEÈJI VRTIÆ TATJANE MARINIÆ, PODRUÈNI OBJEKT;ULICA IVANA GORANA KOVAÈIÆA 31;775;444;443;437;6;0;1;0;14;4;6;26;8;9;51;1;2;18;227;0;1;0;2;47;0;20;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;052;TUŠKANAC;PROSTORIJE MJESNOG ODBORA;JABUKOVAC 28;629;317;317;317;0;0;4;2;27;0;3;20;5;1;47;0;1;7;150;0;0;0;2;32;0;16;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;053;TUŠKANAC;CENTAR ZA ODGOJ DJECE I MLADEŽI;GORNJE PREKRIŽJE 48;344;211;211;208;3;1;1;0;13;1;5;12;6;2;30;0;2;6;97;0;1;0;0;24;0;7;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;054;TUŠKANAC;HRVATSKI FILMSKI SAVEZ;TUŠKANAC 1;235;113;113;113;0;1;0;1;6;0;1;3;0;2;10;1;0;6;65;0;0;0;0;11;0;6;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;055;VOÆARSKA;DJEÈJI VRTIÆ MEDVEŠÈAK;VOÆARSKA CESTA 69;1351;707;707;704;3;3;1;0;36;4;5;70;16;11;77;1;3;39;357;0;0;0;3;59;2;17;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;056;VOÆARSKA;DJEÈJI VRTIÆ MEDVEŠÈAK;VOÆARSKA CESTA 69;1461;734;734;726;8;0;0;0;43;5;10;57;12;7;82;1;5;27;371;1;1;0;2;69;0;31;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;057;CVJETNICA;DJEÈJI VRTIÆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;829;468;468;463;5;4;1;1;41;2;7;24;7;6;40;2;0;21;223;1;4;0;2;55;0;21;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;058;CVJETNICA;DJEÈJI VRTIÆ VRBIK;ŠETALIŠTE JURIJA GAGARINA 10;704;411;411;403;8;4;1;0;16;5;5;23;9;2;27;5;7;15;201;0;1;1;7;51;1;18;4
21;GRAD ZAGREB;grad;GRAD ZAGREB;059;CVJETNO NASELJE;OŠ CVJETNO NASELJE;CVJETNA CESTA 17;1513;790;790;785;5;0;3;2;33;5;8;61;13;9;50;3;4;39;408;3;3;0;9;97;0;33;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;060;KANAL;PRIRODOSLOVNA ŠKOLA VLADIMIRA PRELOGA;ULICA GRADA VUKOVARA 269;1290;615;615;607;8;3;4;0;42;4;5;48;14;3;59;0;4;29;291;0;1;1;1;66;2;29;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;061;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1403;688;683;675;8;2;1;1;26;2;6;76;11;7;56;0;4;49;331;0;2;0;5;73;0;22;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;062;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1391;703;703;688;15;5;2;0;40;2;2;61;14;8;62;0;1;38;331;0;1;0;6;92;0;22;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;063;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1361;723;723;713;10;3;2;2;40;4;9;62;11;4;77;2;6;27;350;2;0;1;6;71;0;34;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;064;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA ULICA 4;1348;702;701;693;8;5;1;3;45;8;7;62;6;7;72;2;4;39;305;0;0;0;8;79;5;35;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;065;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;1295;710;710;701;9;5;1;0;31;7;5;65;13;12;69;2;6;29;337;0;4;0;6;76;0;33;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;066;MARTINOVKA;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 11F;1126;510;510;507;3;2;2;1;37;0;5;35;16;5;47;2;1;23;257;0;0;0;5;47;0;22;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;067;MIRAMARE;OŠ DAVORINA TRSTENJAKA;KRÈKA ULICA 3;1116;612;612;600;12;5;2;2;41;4;8;37;13;7;121;1;6;27;262;0;1;0;7;39;3;14;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;068;SAVSKI KUTI;PROSTORIJE MJESNOG ODBORA;LOMNIÈKA ULICA 3;1496;844;842;831;11;3;2;2;27;4;8;51;19;8;82;0;5;44;445;0;1;0;7;86;0;37;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;069;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1073;542;542;533;9;8;0;0;26;4;4;30;5;8;70;1;2;28;239;0;2;2;4;72;0;27;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;070;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1075;500;500;494;6;1;1;2;27;4;8;32;23;7;53;5;5;20;234;4;0;0;1;50;2;15;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;071;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1084;529;529;525;4;7;3;1;35;1;6;41;9;8;55;3;5;33;242;0;1;3;3;52;0;17;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;072;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1122;528;528;526;2;12;2;0;32;1;2;33;13;3;42;0;2;31;255;0;0;1;2;48;0;46;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;073;SIGEÈICA;OŠ RAPSKA;RAPSKA ULICA 3;1121;496;496;491;5;5;0;0;44;1;3;34;11;2;45;1;5;18;244;0;0;0;4;55;1;16;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;074;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;ULICA VLADIMIRA RUŽDJAKA 22;1663;815;815;792;23;2;5;4;60;6;12;68;17;7;87;1;5;40;352;1;4;0;5;70;0;44;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;075;STARO TRNJE;PROSTORIJE MJESNOG ODBORA-STARO TRNJE;TRNJANSKA CESTA 128;1577;795;794;779;15;2;3;0;74;7;6;85;15;4;74;2;3;47;353;0;0;2;3;61;1;36;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;076;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1169;584;584;570;14;5;4;1;41;4;3;33;8;0;58;2;5;26;282;0;2;0;4;68;1;21;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;077;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1167;638;638;628;10;2;1;1;26;5;4;49;13;3;64;1;4;37;313;0;1;0;2;83;0;18;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;078;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1223;604;604;593;11;4;0;1;32;6;6;37;12;6;57;2;2;23;281;0;1;0;3;91;0;29;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;079;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1211;633;632;622;10;0;0;2;37;4;6;58;14;3;54;0;6;38;291;1;2;0;9;73;1;21;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;080;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;ULICA VLADIMIRA RUŽDJAKA 2A;1200;710;709;701;8;2;2;0;36;3;9;64;20;10;69;0;3;34;343;0;1;0;2;82;2;18;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;081;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;ULICA VLADIMIRA RUŽDJAKA 21;1400;743;743;734;9;1;1;0;57;10;5;54;14;5;68;0;3;48;348;1;0;0;1;74;2;40;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;082;TRNJE;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 33;1152;577;576;566;10;1;0;1;60;4;3;60;9;8;56;5;8;45;243;1;2;0;3;39;0;18;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;083;TRNJE;OŠ GRIGORA VITEZA;KRUGE 46;745;360;360;353;7;0;2;0;45;1;3;44;7;4;60;5;6;17;118;0;0;0;3;18;2;18;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;084;VESLAÈKO NASELJE;PROSTORIJE MJESNOG ODBORA;VESLAÈKA ULICA 17A;944;540;540;539;1;0;0;2;39;7;2;42;22;3;52;0;2;23;274;0;0;2;2;40;0;26;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;085;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIÈKE 26;1382;767;765;756;9;0;5;2;39;7;9;29;15;3;51;0;4;32;439;0;1;0;9;72;0;38;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;086;VRBIK;PROSTORIJE MJESNOG ODBORA;ULICA LAVOSLAVA RUŽIÈKE 26;1431;806;806;796;10;2;0;3;30;3;9;71;21;7;81;2;7;53;364;0;2;0;4;99;1;34;3
21;GRAD ZAGREB;grad;GRAD ZAGREB;087;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1159;564;564;551;13;6;0;1;39;1;3;67;13;4;84;1;6;40;223;0;1;3;0;34;3;21;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;088;BUKOVAC;DOM ZDRAVLJA ZAGREB - ISTOK;KOSA 1B;1159;571;571;560;11;1;1;1;34;2;3;64;15;0;74;1;5;46;230;0;0;1;2;47;2;29;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;089;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;966;490;490;474;16;3;3;0;32;1;2;80;7;2;53;0;3;41;186;0;2;1;0;36;3;19;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;090;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA ULICA 50;978;471;471;466;5;6;1;0;27;6;3;43;10;5;68;0;3;34;194;0;0;2;3;41;2;16;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;091;BUKOVAC;VATROGASNI DOM;IX. BUKOVAÈKI OGRANAK 2;1645;844;844;828;16;4;0;1;91;4;4;140;13;3;130;2;3;66;277;1;1;2;2;45;4;32;3
21;GRAD ZAGREB;grad;GRAD ZAGREB;092;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1131;556;556;550;6;2;0;3;36;3;5;53;4;6;55;0;2;19;277;1;0;0;3;54;0;27;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;093;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1135;533;533;529;4;2;0;1;32;2;4;57;11;6;62;1;2;27;244;0;1;1;3;53;1;19;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;094;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;ULICA IVANA FILIPOVIÆA 1;1125;565;564;560;4;3;1;1;18;2;4;69;15;8;62;0;10;31;267;0;0;2;5;38;1;23;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;095;DOBRI DOL;PROSTORIJE MJESNOG ODBORA;DOBRI DOL 49;908;548;546;540;6;2;3;0;29;3;5;31;13;11;60;2;4;32;256;2;0;0;6;58;2;17;4
21;GRAD ZAGREB;grad;GRAD ZAGREB;096;DOBRI DOL;OŠ JORDANOVAC;JORDANOVAC 108;1473;797;796;786;10;3;0;0;25;5;7;76;16;8;123;3;3;36;355;1;1;1;3;74;2;43;1
