Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DARKO KOREN;MLADEN KEŠER
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;001;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ DESNO;ÐURÐEVAC;621;150;150;139;11;67;72
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;002;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ LIJEVO;ÐURÐEVAC;750;116;116;110;6;33;77
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;003;GRKINE;DRUŠTVENI DOM GRKINE;GRKINE;97;18;18;16;2;8;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;004;SEVEROVCI;DRUŠTVENI DOM SEVEROVCI;SEVEROVCI;99;16;16;15;1;7;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;005;ÐURÐEVAC;DRUŠTVENI DOM NOVO SELO;ÐURÐEVAC;799;187;187;177;10;66;111
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;006;ÐURÐEVAC;ZGRADA INE;ÐURÐEVAC;549;93;93;83;10;35;48
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;007;SVETA ANA;DRUŠTVENI DOM SVETA ANA;SVETA ANA;86;24;24;20;4;9;11
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;008;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC - ULAZ LIJEVO;ÐURÐEVAC;623;103;103;100;3;42;58
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;009;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC- ULAZ DESNO;ÐURÐEVAC;657;140;140;135;5;51;84
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;010;MIÈETINAC;DRUŠTVENI DOM MIÈETINAC;MIÈETINAC;170;57;57;55;2;32;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;011;ÐURÐEVAC;ZGRADA GRADA ÐURÐEVCA  (STARA VIJEÆNICA);S. RADIÆA 1, ÐURÐEVAC;561;124;124;116;8;47;69
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;012;ÐURÐEVAC;ZGRADA ZAJEDNICE SPORTSKIH UDRUGA GRADA ÐURÐEVCA;ULICA ANTUNA RADIÆA 4;507;87;87;84;3;28;56
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;013;ÈEPELOVAC;DRUŠTVENI DOM ÈEPELOVAC;ÈEPELOVAC;280;58;58;53;5;30;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;014;BUDROVAC;DRUŠTVENI DOM BUDROVAC;BUDROVAC;275;67;67;65;2;25;40
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;015;SIROVA KATALENA;VATROGASNI DOM SIROVA KATALENA;SIROVA KATALENA;216;74;74;72;2;46;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;016;SUHA KATALENA;DRUŠTVENI DOM SUHA KATALENA;SUHA KATALENA;262;46;46;41;5;32;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;001;REKA;DRUŠTVENI DOM REKA;MAŽURANIÆEV TRG 18;1227;186;186;183;3;74;109
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;002;STARIGRAD;PODRUÈNA ŠKOLA STARIGRAD (1);KREŠIMIROVA ULICA 30;974;183;183;179;4;76;103
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;003;STARIGRAD;PODRUÈNA ŠKOLA STARIGRAD (2);KREŠIMIROVA ULICA 30;1049;165;165;163;2;70;93
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;004;DRAGANOVEC;DRUŠTVENI DOM DRAGANOVEC;DRAGANOVEC;429;74;74;73;1;20;53
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;005;BAKOVÈICA;PODRUÈNA ŠKOLA BAKOVÈICA;ŠKOLSKA 35;266;70;70;68;2;24;44
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;006;JAGNJEDOVEC;PROSTORIJE MJESNOG ODBORA JAGNJEDOVEC;JAGNJEDOVEC;265;86;86;85;1;47;38
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;007;ŠTAGLINEC;DRUŠTVENI DOM ŠTAGLINEC;ŠTAGLINEC;401;120;120;114;6;42;72
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;008;HEREŠIN;DRUŠTVENI DOM HEREŠIN;HEREŠIN;611;120;120;112;8;41;71
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;009;KOPRIVNICA;AUTO-KLUB (1) KOPRIVNICA;STAROGRADSKA ULICA 45;837;195;195;189;6;87;102
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;010;KOPRIVNICA;AUTO-KLUB (2) KOPRIVNICA;STAROGRADSKA ULICA 45;782;199;199;192;7;63;129
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;011;KOPRIVNICA;PUÈKO OTVORENO UÈILIŠTE - DOMOLJUB;STAROGRADSKA ULICA 1;525;130;130;122;8;46;76
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;012;KOPRIVNICA;ELEKTRA KOPRIVNICA;HRVATSKE DRŽAVNOSTI 32;481;129;129;124;5;55;69
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;013;KOPRIVNICA;"GKP ""KOMUNALAC"" KOPRIVNICA";MOSNA ULICA 15;440;104;104;99;5;32;67
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;014;KOPRIVNICA;GRAD KOPRIVNICA, VJENÈAONICA;ZRINSKI TRG 1;341;92;92;85;7;42;43
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;015;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAÆA RADIÆ""  (1) KOPRIVNICA";MIKLINOVEC 6A;823;217;217;207;10;101;106
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;016;KOPRIVNICA;"OSNOVNA ŠKOLA ""BRAÆA RADIÆ"" (2) KOPRIVNICA";MIKLINOVEC 6A;1177;372;372;359;13;155;204
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;017;KOPRIVNICA;DRUŠTVENI DOM MIKLINOVEC;MIKLINOVEC 99 A;1012;238;238;234;4;99;135
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;018;KOPRIVNICA;UDRUGA UMIROVLJENIKA KOPRIVNICA;FRANA GALOVIÆA 4;664;196;196;187;9;90;97
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;019;KOPRIVNICA;SREDNJA ŠKOLA KOPRIVNICA;TRG SLOBODE 7;951;306;306;291;15;133;158
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;020;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIÆ"" (1) KOPRIVNICA";DR. ŽELJKA SELINGERA 3A;944;236;236;228;8;92;136
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;021;KOPRIVNICA;"GIMNAZIJA ""FRAN GALOVIÆ"" (2) KOPRIVNICA";ULICA DR. ŽELJKA SELINGERA 3A;490;144;144;140;4;67;73
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;022;KOPRIVNICA;VETERINARSKA STANICA  KOPRIVNICA;ULICA MIHOVILA PAVLEKA MIŠKINE 66;511;112;112;111;1;36;75
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;023;KOPRIVNICA;BIVŠA VOJARNA - GLAVNI ULAZ, BIVŠA STRAŽARA;TRG DR. ŽARKA DOLINARA 1;409;70;70;69;1;22;47
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;024;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMÈIÆ GOSTOVINSKI"" (1) KOPRIVNICA";ŠKOLSKA ULICA 5;588;137;137;136;1;57;79
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;025;KOPRIVNICA;"OSNOVNA ŠKOLA  ""ANTUN NEMÈIÆ GOSTOVINSKI"" (2) KOPRIVNICA";ŠKOLSKA ULICA 5;400;126;126;122;4;41;81
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;026;KOPRIVNICA;COOR PODRAVSKO SUNCE (1) KOPRIVNICA;HERCEGOVAÈKA ULICA BB;700;207;207;202;5;74;128
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;027;KOPRIVNICA;COOR PODRAVSKO SUNCE (2) KOPRIVNICA;HERCEGOVAÈKA ULICA BB;817;196;196;190;6;69;121
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;028;KOPRIVNICA;PODRAVKIN MUZEJ PREHRANE KOPRIVNICA;STAROGRADSKA ULICA BB;626;192;192;183;9;80;103
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;029;KOPRIVNICA;"""WEST CENTAR"" (1) KOPRIVNICA";ZAGREBAÈKA ULICA BB;793;179;179;177;2;90;87
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;030;KOPRIVNICA;"""WEST CENTAR"" (2) KOPRIVNICA";ZAGREBAÈKA ULICA BB;917;132;132;129;3;41;88
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;031;KOPRIVNICA;"GKP ""KOMUNALAC"" (1) KOPRIVNICA";VARAŽDINSKA CESTA 18;811;191;191;182;9;57;125
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;032;KOPRIVNICA;"GKP ""KOMUNALAC"" (2) KOPRIVNICA";VARAŽDINSKA CESTA 18;885;224;224;220;4;87;133
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;033;KUNOVEC BREG;DRUŠTVENI DOM U KUNOVEC BREGU;KOPRIVNIÈKA ULICA 101;592;126;126;123;3;47;76
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;034;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (1);VINICA 67;995;225;225;220;5;101;119
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;035;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (2);VINICA 67;815;148;148;143;5;45;98
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;036;KOPRIVNICA;"OSIGURANJE ""TRIGLAV"" KOPRIVNICA";TARAŠÈICE 21;672;214;214;205;9;78;127
