Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARTINA FURDEK-HAJDIN;DAVID GORUP;VLATKO IVKA;STJEPAN MIKULANDRIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;001;BIRAÈKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;782;389;389;363;26;184;18;35;126
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;002;BIRAÈKO MJESTO BR. 2;DJEÈJI VRTIÆ;TRG HRVATSKIH MUÈENIKA BB;673;308;308;287;21;115;17;44;111
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;003;BIRAÈKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA ""MLADOST"" NA NOGOMETNOM IGRALIŠTU U DONJEM MRZLOM POLJU";DONJE MRZLO POLJE BB;423;219;219;210;9;94;12;36;68
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;004;BIRAÈKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;580;260;260;253;7;123;16;25;89
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;005;BIRAÈKO MJESTO BR. 5;DOM SPORTOVA;BANA JOSIPA JELAÈIÆA 41;404;191;191;179;12;79;8;31;61
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;006;BIRAÈKO MJESTO BR. 6;OŠ IVAN GORAN KOVAÈIÆ;BANA JOSIPA JELAÈIÆA 8;586;321;319;307;12;133;19;29;126
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;007;BIRAÈKO MJESTO BR. 7;PEKARA MUS;TRG KRALJA TOMISLAVA 1;465;229;229;206;23;92;14;15;85
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;008;BIRAÈKO MJESTO BR. 8;KUÆA GAJSKI IVANA;NIKOLE TESLE 4;311;167;167;156;11;66;14;21;55
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;009;BIRAÈKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUÈENIKA 17;485;247;247;230;17;96;29;26;79
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;010;BIRAÈKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;615;306;306;292;14;141;24;39;88
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;011;BIRAÈKO MJESTO BR. 11;KUÆA PROTULIPAC VIDE;PETRAKOVO BRDO 22B;118;66;66;63;3;32;6;11;14
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE SPORTSKOG DRUŠTVA BRODAC;GORNJE MRZLO POLJE MREŽNIÈKO 101 C;531;239;239;225;14;102;19;36;68
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE MO VAROŠ;RADIÆEVA ULICA BB;799;359;359;340;19;154;15;49;122
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MO BELAJSKA VINICA;BELAJSKA VINICA BB;232;121;121;117;4;71;9;10;27
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE BIVŠE EKONOMIJE;MREŽNIÈKI BRIG 51;283;136;136;122;14;61;6;20;35
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;016;BIRAÈKO MJESTO BR. 16;MONTAŽNI OBJEKT PORED KUÆE MIJE MIHALIÆA;MIHALIÆ SELO 15;111;49;49;46;3;37;2;1;6
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;017;BIRAÈKO MJESTO BR. 17;PROSTOR MO SVETA JELENA;MREŽNIÈKI NOVAKI BB;148;78;78;72;6;48;3;4;17
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE PODRUÈNE ŠKOLE BELAVIÆI;BELAVIÆI;476;233;233;224;9;114;13;25;72
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;019;BIRAÈKO MJESTO BR. 19;DRUŠTVENI DOM DVORJANCI;DVORJANCI BB;174;92;92;90;2;44;5;17;24
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;020;BIRAÈKO MJESTO BR. 20;PODRUÈNA ŠKOLA ZVEÈAJ;ZVEÈAJ 78;248;125;125;121;4;80;6;14;21
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;021;BIRAÈKO MJESTO BR. 21;ŠKOLA DONJI ZVEÈAJ;DONJI ZVEÈAJ 8;144;83;83;75;8;38;5;3;29
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;022;BIRAÈKO MJESTO BR. 22;KUÆA MALOVIÆ IVICE;MREŽNIÈKI VENAC 17;113;62;62;60;2;39;2;4;15
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;023;BIRAÈKO MJESTO BR. 23;KUÆA MIJE KAPELIÆA;GRŠÆAKI 1;64;29;29;28;1;10;2;2;14
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;024;BIRAÈKO MJESTO BR. 24;"KLUB ŠPORTSKIH RIBOLOVACA ""MREŽNICA""";SVETI PETAR MREŽNIÈKI 28A;329;156;156;143;13;86;4;19;34
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;025;BIRAÈKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;149;89;89;85;4;46;1;10;28
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;001;BIRAÈKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;550;235;235;223;12;96;16;27;84
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;002;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1467;657;657;622;35;245;39;55;283
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;003;BIRAÈKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;265;265;257;8;111;20;22;104
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;004;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;742;299;299;287;12;131;17;29;110
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;005;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1525;698;698;663;35;285;47;61;270
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1209;535;535;507;28;201;40;38;228
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;007;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1139;475;475;448;27;200;31;44;173
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1378;566;566;545;21;267;27;60;191
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;009;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);397;164;164;151;13;73;10;19;49
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;010;BIRAÈKO MJESTO BR 10;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;417;183;183;173;10;79;9;18;67
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;011;BIRAÈKO MJESTO BR. 11;PROSTORIJE TVRTKI VODOVOD I KANALIZACIJA D.O.O I ÈISTOÆA D.O.O.;GAŽANSKI TRG 8 (U PRIZEMLJU);356;123;123;118;5;59;11;6;42
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE G.È. GAZA;GAŽANSKI TRG 11;846;334;334;309;25;135;12;34;128
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIÆA 43;454;171;171;160;11;78;9;19;54
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MJESNOG ODBORA GRADAC;GRADAC 31;349;153;153;148;5;87;4;23;34
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE MJESNOG ODBORA ORLOVAC;REÈIÈKA 55;716;298;298;288;10;213;13;27;35
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;016;BIRAÈKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE 29 B;148;97;97;92;5;67;7;17;1
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;017;BIRAÈKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIÆ;KOBILIÆ POKUPSKI 29 A;35;22;22;21;1;9;2;0;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE MO POKUPSKA DOLINA;DONJE MEKUŠJE 33 A;176;119;119;114;5;79;6;9;20
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;019;BIRAÈKO MJESTO BR. 19;PROSTORIJE DRUŠTVENOG DOMA VODOSTAJ;VODOSTAJ 42 C;227;120;120;117;3;87;5;4;21
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;020;BIRAÈKO MJESTO BR. 20;DRUŠTVENI DOM ÈURJACI;VODOSTAJ 140 B;51;24;24;24;0;12;1;1;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;021;BIRAÈKO MJESTO BR. 21;PROSTORIJE MO REÈICA;POKUPSKA LUKA  9;313;101;101;98;3;61;5;18;14
